country,total_spending_1974_2023,corr_HHI_pubs_contemp,corr_HHI_pubs_lag3,mean_HHI_1974_2023,cluster,pub_growth_ratio,early_share__Biofuels,recent_share__Biofuels,delta_share__Biofuels,early_share__CO2 capture & storage,recent_share__CO2 capture & storage,delta_share__CO2 capture & storage,early_share__Geothermal,recent_share__Geothermal,delta_share__Geothermal,early_share__Hydro,recent_share__Hydro,delta_share__Hydro,early_share__Hydrogen & fuel cells,recent_share__Hydrogen & fuel cells,delta_share__Hydrogen & fuel cells,early_share__Nuclear,recent_share__Nuclear,delta_share__Nuclear,early_share__Ocean,recent_share__Ocean,delta_share__Ocean,early_share__Solar,recent_share__Solar,delta_share__Solar,early_share__Wind,recent_share__Wind,delta_share__Wind
France,68755.968,-0.6636364387142479,-0.7106683603868115,0.7225415186628963,0.0,18.38026013771997,0.009994746741093458,0.051946155699468505,0.04195140895837505,0.007018697369659838,0.02721400558231731,0.02019530821265747,0.0082764128061756,0.008939404792137404,0.0006629919859618034,3.496039202252922e-05,0.0022642162173714354,0.0022292558253489063,0.09255395783838057,0.09890113467937406,0.006347176840993493,0.844856881661833,0.697990021820693,-0.14686685984114,0.001012624688231504,0.009365500197102519,0.008352875508871014,0.032258015053208806,0.06360049949334384,0.031342484440135036,0.00399370344939468,0.03977906151819196,0.03578535806879728
Germany,60149.762,-0.6405772356332342,-0.6671602710171781,0.5225268155964018,0.0,16.56696195935383,0.03114426495823045,0.07584011653883001,0.044695851580599556,0.005974618210768097,0.05316322155331076,0.047188603342542663,0.033935737301036564,0.030940387451433498,-0.0029953498496030663,0.0002588743470987246,0.001980412000507052,0.0017215376534083272,0.1017819968693014,0.24507719727715863,0.14329520040785723,0.5794303823002566,0.3032234859268834,-0.27620689637337315,0.0,0.0,0.0,0.18753530104733163,0.16265977851803673,-0.024875522529294897,0.059938824965976516,0.12711540073383998,0.06717657576786346
Greece,417.582,-0.28256451634181523,-0.10338912617116665,0.4006676159278097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,246.329,-0.39529379392490904,0.02945922333419599,0.6610379878772783,1.0,29.57281553398058,0.6164311525157157,0.23206950947237917,-0.38436164304333653,0.0,0.017175774497401965,0.017175774497401965,0.0004583238854286776,0.06413700300878444,0.06367867912335577,0.0,0.0,0.0,0.0,0.2731971232593653,0.2731971232593653,0.29498368527783275,0.12348867799958674,-0.17149500727824601,0.0,0.0,0.0,0.05921222968941723,0.2761126706615798,0.21690044097216257,0.028914608631605696,0.013819241100902638,-0.015095367530703058
Ireland,424.744,-0.35884782728835835,0.01618953882887165,0.38546915515917113,1.0,39.79012345679013,0.29645230185097293,0.21049466848392526,-0.08595763336704768,0.0,0.016786258317966804,0.016786258317966804,0.0,0.08216748176060289,0.08216748176060289,0.058732795443758895,0.01010181993105107,-0.04863097551270783,0.0,0.0790908362062054,0.0790908362062054,0.10832937826293307,0.0,-0.10832937826293307,0.1229235880398671,0.3095185600897939,0.1865949720499268,0.09854057902230659,0.06468972981640342,-0.03385084920590317,0.31502135738016135,0.2271506453940511,-0.08787071198611024
Italy,33506.103,-0.6476994482545879,-0.6793496727323763,0.591261922596749,0.0,19.35272727272727,0.01626872985095262,0.08143900710458513,0.0651702772536325,0.0,0.07663410513388776,0.07663410513388776,0.0,0.032990498111480124,0.032990498111480124,0.0,0.0,0.0,0.0,0.11288761996858138,0.11288761996858138,0.6861885562448794,0.5227310874546943,-0.16345746879018508,0.0,0.0,0.0,0.295309616875589,0.16755882263723595,-0.12775079423835303,0.002233097028578854,0.00575885958953533,0.003525762560956476
Japan,144432.335,-0.9571330917091333,-0.9408217715610303,0.7684259110789456,0.0,6.562870080111459,0.012300872600196515,0.05152553469724732,0.039224662097050805,0.0,0.08221031302484486,0.08221031302484486,0.003170306816078812,0.01155959420891284,0.008389287392834028,0.000561617433737817,0.0007755165846474944,0.00021389915090967747,0.07234665587014104,0.1384962927459312,0.06614963687579016,0.867783361275097,0.5948230981887557,-0.27296026308634136,0.0005782229912246183,0.005200545991216133,0.004622322999991514,0.040213722264622234,0.022618920758197346,-0.01759480150642489,0.003045240748901903,0.0927901838002472,0.0897449430513453
Korea,10582.07,-0.6682204224017338,-0.7675960974145796,0.29668688102605756,0.0,36.100603621730386,0.01914677635897828,0.053215705129429386,0.034068928770451104,0.007363065230645445,0.10417094389674679,0.09680787866610134,0.006075074574035294,0.006548339782202649,0.00047326520816735537,0.011680016965300659,0.01005407692043254,-0.001625940044868119,0.15372152893534943,0.231074868317017,0.07735333938166758,0.7104508123229208,0.22891108724880924,-0.4815397250741116,0.0015250058863979768,0.003685500166155468,0.0021604942797574913,0.05347266294407221,0.1892584787034526,0.1357858157593804,0.03656505678229995,0.1730809998357544,0.13651594305345444
Latvia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,72.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
